time,"Elevator 1:Floor:Counter","Elevator 2:Floor:Counter","Elevator 2:Floor:Counter"
09:00,1:0:0,2:0:0,3:0:0
09:01,1:0:0,2:0:0,3:0:0
09:02,1:0:0,2:0:0,3:0:0
09:03,1:0:0,2:0:0,3:0:0
09:04,1:0:0,2:0:0,3:0:0
09:05,1:2:2,2:0:0,3:0:0
09:06,1:2:2,2:0:0,3:0:0
09:07,1:2:2,2:0:0,3:0:0
09:08,1:2:2,2:0:0,3:0:0
09:09,1:2:2,2:0:0,3:0:0
09:10,1:2:6,2:1:1,3:0:0
09:11,1:2:6,2:1:1,3:0:0
09:12,1:2:6,2:1:1,3:0:0
09:13,1:2:6,2:1:1,3:0:0
09:14,1:2:6,2:1:1,3:0:0
09:15,1:2:10,2:1:1,3:0:0
09:16,1:2:10,2:1:1,3:0:0
09:17,1:2:10,2:1:1,3:0:0
09:18,1:2:10,2:1:1,3:0:0
09:19,1:2:10,2:1:1,3:0:0
09:20,1:2:14,2:1:3,3:0:0
09:21,1:2:14,2:1:3,3:0:0
09:22,1:2:14,2:1:3,3:0:0
09:23,1:2:14,2:1:3,3:0:0
09:24,1:2:14,2:1:3,3:0:0
09:25,1:2:18,2:1:3,3:0:0
09:26,1:2:18,2:1:3,3:0:0
09:27,1:2:18,2:1:3,3:0:0
09:28,1:2:18,2:1:3,3:0:0
09:29,1:2:18,2:1:3,3:0:0
09:30,1:2:22,2:1:5,3:0:0
09:31,1:2:22,2:1:5,3:0:0
09:32,1:2:22,2:1:5,3:0:0
09:33,1:2:22,2:1:5,3:0:0
09:34,1:2:22,2:1:5,3:0:0
09:35,1:2:26,2:1:5,3:0:0
09:36,1:2:26,2:1:5,3:0:0
09:37,1:2:26,2:1:5,3:0:0
09:38,1:2:26,2:1:5,3:0:0
09:39,1:2:26,2:1:5,3:0:0
09:40,1:2:30,2:1:7,3:0:0
09:41,1:2:30,2:1:7,3:0:0
09:42,1:2:30,2:1:7,3:0:0
09:43,1:2:30,2:1:7,3:0:0
09:44,1:2:30,2:1:7,3:0:0
09:45,1:2:34,2:1:7,3:0:0
09:46,1:2:34,2:1:7,3:0:0
09:47,1:2:34,2:1:7,3:0:0
09:48,1:2:34,2:1:7,3:0:0
09:49,1:2:34,2:1:7,3:0:0
09:50,1:2:38,2:1:9,3:0:0
09:51,1:2:38,2:1:9,3:0:0
09:52,1:2:38,2:1:9,3:0:0
09:53,1:2:38,2:1:9,3:0:0
09:54,1:2:38,2:1:9,3:0:0
09:55,1:2:42,2:1:9,3:0:0
09:56,1:2:42,2:1:9,3:0:0
09:57,1:2:42,2:1:9,3:0:0
09:58,1:2:42,2:1:9,3:0:0
09:59,1:2:42,2:1:9,3:0:0
10:00,1:2:46,2:1:11,3:0:0
10:01,1:2:46,2:1:11,3:0:0
10:02,1:2:46,2:1:11,3:0:0
10:03,1:2:46,2:1:11,3:0:0
10:04,1:2:46,2:1:11,3:0:0
10:05,1:2:50,2:1:11,3:0:0
10:06,1:2:50,2:1:11,3:0:0
10:07,1:2:50,2:1:11,3:0:0
10:08,1:2:50,2:1:11,3:0:0
10:09,1:2:50,2:1:11,3:0:0
10:10,1:2:54,2:1:11,3:0:0
10:11,1:2:54,2:1:11,3:0:0
10:12,1:2:54,2:1:11,3:0:0
10:13,1:2:54,2:1:11,3:0:0
10:14,1:2:54,2:1:11,3:0:0
10:15,1:2:58,2:1:11,3:0:0
10:16,1:2:58,2:1:11,3:0:0
10:17,1:2:58,2:1:11,3:0:0
10:18,1:2:58,2:1:11,3:0:0
10:19,1:2:58,2:1:11,3:0:0
10:20,1:2:62,2:1:11,3:0:0
10:21,1:2:62,2:1:11,3:0:0
10:22,1:2:62,2:1:11,3:0:0
10:23,1:2:62,2:1:11,3:0:0
10:24,1:2:62,2:1:11,3:0:0
10:25,1:2:66,2:1:11,3:0:0
10:26,1:2:66,2:1:11,3:0:0
10:27,1:2:66,2:1:11,3:0:0
10:28,1:2:66,2:1:11,3:0:0
10:29,1:2:66,2:1:11,3:0:0
10:30,1:2:70,2:1:11,3:0:0
10:31,1:2:70,2:1:11,3:0:0
10:32,1:2:70,2:1:11,3:0:0
10:33,1:2:70,2:1:11,3:0:0
10:34,1:2:70,2:1:11,3:0:0
10:35,1:2:74,2:1:11,3:0:0
10:36,1:2:74,2:1:11,3:0:0
10:37,1:2:74,2:1:11,3:0:0
10:38,1:2:74,2:1:11,3:0:0
10:39,1:2:74,2:1:11,3:0:0
10:40,1:2:78,2:1:11,3:0:0
10:41,1:2:78,2:1:11,3:0:0
10:42,1:2:78,2:1:11,3:0:0
10:43,1:2:78,2:1:11,3:0:0
10:44,1:2:78,2:1:11,3:0:0
10:45,1:2:82,2:1:11,3:0:0
10:46,1:2:82,2:1:11,3:0:0
10:47,1:2:82,2:1:11,3:0:0
10:48,1:2:82,2:1:11,3:0:0
10:49,1:2:82,2:1:11,3:0:0
10:50,1:2:86,2:1:11,3:0:0
10:51,1:2:86,2:1:11,3:0:0
10:52,1:2:86,2:1:11,3:0:0
10:53,1:2:86,2:1:11,3:0:0
